Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Housing Units with 0 Vehicles Available,Data Time Period,Geographic Vintage,Data Source
Zip Code Tabulation Area,79073,TX,79073,79073,,2018-2022,2020,Census
Zip Code Tabulation Area,79085,TX,79085,79085,,2018-2022,2020,Census
Zip Code Tabulation Area,79094,TX,79094,79094,,2018-2022,2020,Census
Zip Code Tabulation Area,79231,TX,79231,79231,,2018-2022,2020,Census
Zip Code Tabulation Area,79258,TX,79258,79258,,2018-2022,2020,Census
Zip Code Tabulation Area,79324,TX,79324,79324,,2018-2022,2020,Census
Zip Code Tabulation Area,79344,TX,79344,79344,,2018-2022,2020,Census
Zip Code Tabulation Area,79353,TX,79353,79353,,2018-2022,2020,Census
Zip Code Tabulation Area,79402,TX,79402,79402,,2018-2022,2020,Census
Zip Code Tabulation Area,79406,TX,79406,79406,,2018-2022,2020,Census
Zip Code Tabulation Area,79699,TX,79699,79699,,2018-2022,2020,Census
Zip Code Tabulation Area,79721,TX,79721,79721,,2018-2022,2020,Census
Zip Code Tabulation Area,79759,TX,79759,79759,,2018-2022,2020,Census
Zip Code Tabulation Area,79769,TX,79769,79769,,2018-2022,2020,Census
Zip Code Tabulation Area,79770,TX,79770,79770,,2018-2022,2020,Census
Zip Code Tabulation Area,79776,TX,79776,79776,,2018-2022,2020,Census
Zip Code Tabulation Area,79832,TX,79832,79832,,2018-2022,2020,Census
Zip Code Tabulation Area,79846,TX,79846,79846,,2018-2022,2020,Census
Zip Code Tabulation Area,79916,TX,79916,79916,,2018-2022,2020,Census
Zip Code Tabulation Area,79918,TX,79918,79918,,2018-2022,2020,Census
Zip Code Tabulation Area,79920,TX,79920,79920,,2018-2022,2020,Census
Zip Code Tabulation Area,75942,TX,75942,75942,100,2018-2022,2020,Census
Zip Code Tabulation Area,75247,TX,75247,75247,63.64,2018-2022,2020,Census
Zip Code Tabulation Area,78943,TX,78943,78943,48.88,2018-2022,2020,Census
Zip Code Tabulation Area,77993,TX,77993,77993,46.3,2018-2022,2020,Census
Zip Code Tabulation Area,79901,TX,79901,79901,44.77,2018-2022,2020,Census
Zip Code Tabulation Area,79101,TX,79101,79101,42.89,2018-2022,2020,Census
Zip Code Tabulation Area,79730,TX,79730,79730,41.94,2018-2022,2020,Census
Zip Code Tabulation Area,77444,TX,77444,77444,40.58,2018-2022,2020,Census
Zip Code Tabulation Area,77867,TX,77867,77867,40.26,2018-2022,2020,Census
Zip Code Tabulation Area,79240,TX,79240,79240,38.46,2018-2022,2020,Census
Zip Code Tabulation Area,78401,TX,78401,78401,38.23,2018-2022,2020,Census
Zip Code Tabulation Area,75658,TX,75658,75658,37.5,2018-2022,2020,Census
Zip Code Tabulation Area,78205,TX,78205,78205,34.68,2018-2022,2020,Census
Zip Code Tabulation Area,78352,TX,78352,78352,34.21,2018-2022,2020,Census
Zip Code Tabulation Area,75470,TX,75470,75470,33.7,2018-2022,2020,Census
Zip Code Tabulation Area,76490,TX,76490,76490,33.33,2018-2022,2020,Census
Zip Code Tabulation Area,77961,TX,77961,77961,32.85,2018-2022,2020,Census
Zip Code Tabulation Area,77326,TX,77326,77326,30.08,2018-2022,2020,Census
Zip Code Tabulation Area,78549,TX,78549,78549,29.08,2018-2022,2020,Census
Zip Code Tabulation Area,77453,TX,77453,77453,27.87,2018-2022,2020,Census
Zip Code Tabulation Area,78402,TX,78402,78402,27.21,2018-2022,2020,Census
Zip Code Tabulation Area,79013,TX,79013,79013,26.91,2018-2022,2020,Census
Zip Code Tabulation Area,78883,TX,78883,78883,26.72,2018-2022,2020,Census
Zip Code Tabulation Area,78208,TX,78208,78208,25.16,2018-2022,2020,Census
Zip Code Tabulation Area,76466,TX,76466,76466,23.87,2018-2022,2020,Census
Zip Code Tabulation Area,78142,TX,78142,78142,23.81,2018-2022,2020,Census
Zip Code Tabulation Area,78012,TX,78012,78012,23.17,2018-2022,2020,Census
Zip Code Tabulation Area,79380,TX,79380,79380,22.58,2018-2022,2020,Census
Zip Code Tabulation Area,78226,TX,78226,78226,22.37,2018-2022,2020,Census
Zip Code Tabulation Area,75246,TX,75246,75246,21.77,2018-2022,2020,Census
Zip Code Tabulation Area,76865,TX,76865,76865,21.18,2018-2022,2020,Census
Zip Code Tabulation Area,75215,TX,75215,75215,20.34,2018-2022,2020,Census
Zip Code Tabulation Area,75237,TX,75237,75237,20.12,2018-2022,2020,Census
Zip Code Tabulation Area,79243,TX,79243,79243,20,2018-2022,2020,Census
Zip Code Tabulation Area,75705,TX,75705,75705,19.84,2018-2022,2020,Census
Zip Code Tabulation Area,77036,TX,77036,77036,19.79,2018-2022,2020,Census
Zip Code Tabulation Area,77021,TX,77021,77021,19.43,2018-2022,2020,Census
Zip Code Tabulation Area,78207,TX,78207,78207,19.42,2018-2022,2020,Census
Zip Code Tabulation Area,77376,TX,77376,77376,19.38,2018-2022,2020,Census
Zip Code Tabulation Area,78349,TX,78349,78349,19.27,2018-2022,2020,Census
Zip Code Tabulation Area,78057,TX,78057,78057,19.08,2018-2022,2020,Census
Zip Code Tabulation Area,78702,TX,78702,78702,18.6,2018-2022,2020,Census
Zip Code Tabulation Area,78353,TX,78353,78353,18.56,2018-2022,2020,Census
Zip Code Tabulation Area,79902,TX,79902,79902,18.27,2018-2022,2020,Census
